"","artistName","freq"
"738","Bon Jovi",1
"739","Brandi Carlile",1
"740","Brandon Lake",1
"741","Brenda Lee",1
"742","Brent Faiyaz",1
"743","Britney Spears",1
"744","Broadside",1
"745","Brooke Alexx",1
"746","BROWN & GRAY",1
"747","Bruce Springsteen",1
"748","Bryan Adams",1
"749","Bryan John Appleby",1
"750","Brynn Elliott",1
"751","BTS",1
"752","BYU Noteworthy",1
"753","BYU Vocal Point",1
"754","Cameo",1
"755","Camylio",1
"756","Captain Cuts",1
"757","Cardi B",1
"758","Carissa Alvarado",1
"759","Carlie Hanson",1
"760","Carole King",1
"761","Caroline Polachek",1
"762","Cartel",1
"763","Cascada",1
"764","Cate Downey",1
"765","Ceramic Animal",1
"766","Chandler Leighton",1
"767","Charlie Frazier",1
"768","Charlie Pittman",1
"769","Charlotte Sands",1
"770","Charmain Carr",1
"771","Charmian Carr",1
"772","Chase Matthew",1
"773","CHASE WRIGHT",1
"774","Chayce Beckham",1
"775","Chelsea Lankes",1
"776","Cher Lloyd",1
"777","CHIKA",1
"778","Chris Beard",1
"779","Chris Brown",1
"780","Chris Housman",1
"781","Chris Janson",1
"782","Chris Rea",1
"783","Chris Rice",1
"784","Chris Stapleton",1
"785","Christmas Music Holiday Trio",1
"786","Christmas Piano Players",1
"787","CHVRCHES",1
"788","Cian Ducrot",1
"789","Ciara",1
"790","City and Colour",1
"791","City Harbor",1
"792","Claire Perot",1
"793","Claribel Ramón",1
"794","Claude Debussy",1
"795","Cochren & Co.",1
"796","Con Alma",1
"797","Connor Price",1
"798","Crowder",1
"799","Dan Bremnes",1
"800","Danger Scene",1
"801","Daniel Powter",1
"802","Daniel Schulz",1
"803","Danny Padilla",1
"804","Danny Silberman",1
"805","Dante Bowe",1
"806","Daughters of Triton",1
"807","David Crowder Band",1
"808","David Nevue",1
"809","DC Talk",1
"810","Deacon D.A.S.",1
"811","Declan J Donovan",1
"812","Delirious?",1
"813","Depeche Mode",1
"814","Derek Minor",1
"815","Dermot Kennedy",1
"816","Dexys Midnight Runners",1
"817","Deza",1
"818","Dierks Bentley",1
"819","Dirk Maassen",1
"820","Disclosure",1
"821","Disney Studio Chorus",1
"822","DJ Casper",1
"823","Doeke",1
"824","Dolly Parton",1
"825","Domenico Scarlatti",1
"826","Dominic Cooper",1
"827","Don Henley",1
"828","Dorothy Loudon",1
"829","Drake White",1
"830","Drew Green",1
"831","Duncan Laurence",1
"832","Eagles",1
"833","Edvard Grieg",1
"834","eleventyseven",1
"835","Elina",1
"836","Ella Fitzgerald",1
"837","ELLIANA",1
"838","Elvie Shane",1
"839","Emile Pandolfi",1
"840","Emily Watts",1
"841","Emily Weisband",1
"842","Eminem",1
"843","Emma Shynes",1
"844","Ensemble - The Lion King",1
"845","Eric Badanti",1
"846","Erik Satie",1
"847","Erin Kinsey",1
"848","Erin Kirby",1
"849","Ever So Blue",1
"850","Eydís Evensen",1
"851","Ezio Bosso",1
"852","Faith No More",1
"853","FAITHFUL",1
"854","Faye Webster",1
"855","FFH",1
"856","filous",1
"857","FLAME",1
"858","Flyleaf",1
"859","Forever The Sickest Kids",1
"860","Fountains Of Wayne",1
"861","Francois Klark",1
"862","Franz Schubert",1
"863","Frédéric Leissen",1
"864","Gabriel Conte",1
"865","Gabrielle Taryn",1
"866","Gatton",1
"867","Genavieve Linkowski",1
"868","George Frideric Handel",1
"869","Go Radio",1
"870","Gracie Carol",1
"871","gray",1
"872","Greta Isaac",1
"873","Griff",1
"874","Grits",1
"875","Guy Sebastian",1
"876","Guy Van Nueten",1
"877","Gym Class Heroes",1
"878","Hailey Knox",1
"879","HAIM",1
"880","Hak Huyun Lee",1
"881","Haley Joelle",1
"882","Harley Alaska",1
"883","Hayley Reardon",1
"884","Hayley Williams",1
"885","Hey Violet",1
"886","Hilary Duff",1
"887","Hillary Scott & The Scott Family",1
"888","Holly Starr",1
"889","Housefires",1
"890","HRVY",1
"891","Hugh Jackman",1
"892","Hulvey",1
"893","Hunter Metts",1
"894","Irwin Kostal",1
"895","Isabel Pless",1
"896","Isaiah Firebrace",1
"897","Ivan Clarke",1
"898","Ivy Adara",1
"899","J.L. Marshall",1
"900","Jack Ingram",1
"901","Jaden Maskie",1
"902","James DiResta",1
"903","James Gaertner",1
"904","James Spaite",1
"905","Jameson Rodgers",1
"906","Jamie Miller",1
"907","Jane's Addiction",1
"908","Jars Of Clay",1
"909","Jason Isbell",1
"910","Jason Raize",1
"911","Jawsh 685",1
"912","JC Stewart",1
"913","Jean-Yves Thibaudet",1
"914","Jennifer Saran",1
"915","Jenny Lange",1
"916","Jervis Campbell",1
"917","Jesse Brown",1
"918","Jessica Andrea",1
"919","Jim Brickman",1
"920","Jimmy Eat World",1
"921","joan",1
"922","Joan Jett & The Blackhearts",1
"923","Joel Adams",1
"924","Johannes Brahms",1
"925","John Rutter",1
"926","Johnny Manuel",1
